course_id,Syllabus,Semester,Subject_Type,Cate_subject,Sub_Code,Title,Credit,Max_CIA,Max_ESE,Max_TOT,Min_CIA,Min_ESE,Min_TOT,sub_order,TimeTable_order,part,tutor_Course_id,Practical_Hrs,valuation_type
MBA,2023,1,THEORY,,23MBA1CC1,MANAGEMENT CONCEPTS AND PRACTICES,4,25,75,100,12,38,50,1,,3,,,1
MBA,2023,1,THEORY,,23MBA1CC2,ORGANISATIONAL BEHAVIOUR,4,25,75,100,12,38,50,2,,3,,,1
MBA,2023,1,THEORY,,23MBA1CC3,MANAGERIAL ECONOMICS,4,25,75,100,12,38,50,3,,3,,,1
MBA,2023,1,THEORY,,23MBA1CC4,QUANTITATIVE TECHNIQUES FOR MANAGERS,4,25,75,100,12,38,50,4,,3,,,1
MBA,2023,1,THEORY,,23MBA1CC5,INFORMATION SYSTEMS FOR BUSINESS,4,25,75,100,12,38,50,5,,3,,,1
MBA,2023,1,THEORY,,23MBA1CC6,ACCOUNTING FOR DECISION MAKING,4,25,75,100,12,38,50,6,,3,,,1
MBA,2023,1,THEORY,,23MBA1CC7,LEGAL ASPECTS OF BUSINESS,4,25,75,100,12,38,50,7,,3,,,1
MBA,2023,1,THEORY,,23MBA1CV1,COMPREHENSIVE VIVA VOCE - I,2,-,100,100,--,50,50,8,,3,,,1
MBA,2023,1,GRADE,,23MBA1EL,OUTBOUND TRAINING,-,-,-,-,--,--,--,9,,3,,,1
MCA,2023,1,THEORY,,23MCA1CC1,PROGRAMMING IN JAVA,3,25,75,100,12,38,50,1,,3,,,1
MCA,2023,1,THEORY,,23MCA1CC2,COMPUTER SYSTEM ARCHITECTURE,3,25,75,100,12,38,50,2,,3,,,1
MCA,2023,1,THEORY,,23MCA1CC3,DATABASE SYSTEMS,3,25,75,100,12,38,50,3,,3,,,1
MCA,2023,1,THEORY,,23MCA1CC4,RESOURCE MANAGEMENT TECHNIQUES,3,25,75,100,12,38,50,4,,3,,,1
MCA,2023,1,THEORY,,23MCA1CC5,MANAGEMENT INFORMATION SYSTEMS,3,25,75,100,12,38,50,5,,3,,,1
MCA,2023,1,PRACTICAL,,23MCA1CC6P,JAVA PROGRAMMING LAB - PRACTICAL,3,20,80,100,10,40,50,6,,3,,3,1
MCA,2023,1,PRACTICAL,,23MCA1CC7P,RDBMS LAB - PRACTICAL,3,20,80,100,10,40,50,7,,3,,3,1
MCA,2023,1,THEORY,,23MCA1SE1,COMMUNICATION SKILLS,2,-,100,100,--,50,50,8,,3,,,1
PAR,2023,1,THEORY,,23PAR1CC1,GRAMMAR,5,25,75,100,12,38,50,1,,3,,,1
PAR,2023,1,THEORY,,23PAR1CC2,TAFSEER LITERATURE,5,25,75,100,12,38,50,2,,3,,,1
PAR,2023,1,THEORY,,23PAR1CC3,RHETORIC AND PROSODY,5,25,75,100,12,38,50,3,,3,,,1
PAR,2023,1,THEORY,,23PAR1CC4,HISTORY OF CLASSICAL ARABIC LITERATURE,5,25,75,100,12,38,50,4,,3,,,1
PAR,2023,1,THEORY,,23PAR1DE1A,ARABIC TRANSLATION AND COMMUNICATION,4,25,75,100,12,38,50,5,,3,,,1
PAR,2023,1,THEORY,,23PAR1DE1B,INDIAN ISLAMIC HISTORY,4,25,75,100,12,38,50,5,,3,,,1
PBO,2023,1,THEORY,,23PBO1CC1,THALLOPHYTES,5,25,75,100,12,38,50,1,,3,,,1
PBO,2023,1,THEORY,,23PBO1CC2,ARCHEGONIATAEANDPALEOBOTANY,5,25,75,100,12,38,50,2,,3,,,1
PBO,2023,1,THEORY,,23PBO1CC3,"MICROBIOLOGY,PLANTPATHOLOGYAND IMMUNOLOGY",5,25,75,100,12,38,50,3,,3,,,1
PBO,2023,1,PRACTICAL,,23PBO1CC4P,"LABORATORYCOURSEFORCOREI,IIANDIII - PRACTICAL",4,20,80,100,10,40,50,4,,3,,4,1
