depCode,name,category
UAR,ARABIC,Arts
UBA,BUSINESS ADMINISTRATION,Arts
UBO,BOTANY,Science
UBT,BIOTECHNOLOGY,Science
UCO,COMMERCE,Arts
UCH,CHEMISTRY,Science
UCA,COMPUTER APPLICAIONS,Science
UCS,COMPUTER SCIENCE,Science
UEC,ECONOMICS,Arts
UEN,ENGLISH,Arts
UFT,FASHION TECHNOLOGY AND COSTUME DESIGNING,Science
UHS,HISTORY,Arts
UHM,HOTEL MANAGEMENT AND CATERING SCIENCE,Science
UIT,INFORMATION TECHNOLOGY,Science
UMA,MATHEMATICS,Science
UMB,MICROBIOLOGY,Science
UND,NUTRITION AND DIETICS,Science
UPH,PHYSICS,Science
UTA,TAMIL,Arts
UVC,VISUAL COMMUNICATION,Science
UZO,ZOOLOGY,Science
PAR,ARABIC,Arts
PBO,BOTANY,Science
PBT,BIOTECHNOLOGY,Science
PCO,COMMERCE,Arts
PCH,CHEMISTRY,Arts
PCS,COMPUTER SCIENCE,Science
PEC,ECONOMICS,Arts
PEN,ENGLISH,Arts
PFT,FASHION TECHNOLOGY,Science
PHS,HISTORY,Arts
PIT,INFORMATION TECHNOLOGY,Science
PMA,MATHEMATICS,Science
PMB,MICROBIOLOGY,Science
PND,NUTRITION AND DIETICS,Science
PPH,PHYSICS,Science
PTA,TAMIL,Arts
PZO,ZOOLOGY,Science
MBA,BUSINESS ADMINISTRATION,Arts
MCA,COMPUTER APPLICAIONS,Science
